iter	Passed	Remaining
925	27055	31379
926	27085	31351
927	27109	31316
928	27130	31277
929	27160	31248
930	27184	31213
931	27223	31195
932	27253	31167
933	27274	31129
934	27300	31095
935	27323	31059
936	27358	31037
937	27380	30999
938	27410	30971
939	27438	30941
940	27458	30902
941	27479	30863
942	27503	30828
943	27524	30790
944	27557	30765
945	27581	30730
946	27608	30698
947	27634	30666
948	27660	30633
949	27685	30599
950	27706	30561
951	27726	30522
952	27745	30482
953	27775	30453
954	27809	30429
955	27841	30404
956	27865	30369
957	27892	30337
958	27918	30305
959	27946	30274
960	27966	30236
961	27996	30207
962	28024	30178
963	28051	30146
964	28078	30115
965	28103	30082
966	28132	30052
967	28155	30017
968	28184	29988
969	28208	29953
970	28235	29921
971	28260	29888
972	28286	29856
973	28315	29826
974	28352	29806
975	28376	29772
976	28401	29738
977	28430	29710
978	28464	29685
979	28491	29654
980	28524	29629
981	28552	29598
982	28578	29567
983	28603	29533
984	28630	29502
985	28658	29472
986	28690	29445
987	28724	29422
988	28755	29395
989	28783	29364
990	28808	29332
991	28833	29298
992	28861	29268
993	28889	29238
994	28916	29206
995	28936	29168
996	28961	29135
997	28989	29105
998	29019	29077
999	29054	29054
1000	29079	29021
1001	29106	28990
1002	29136	28961
1003	29160	28928
1004	29187	28896
1005	29216	28868
1006	29245	28838
1007	29268	28803
1008	29284	28762
1009	29314	28734
1010	29340	28701
1011	29368	28671
1012	29391	28637
1013	29423	28610
1014	29451	28580
1015	29474	28546
1016	29497	28511
1017	29524	28480
1018	29547	28445
1019	29575	28415
1020	29607	28389
1021	29636	28360
1022	29672	28338
1023	29706	28314
1024	29729	28278
1025	29752	28244
1026	29781	28215
1027	29809	28185
1028	29837	28156
1029	29872	28132
1030	29899	28101
1031	29921	28066
1032	29950	28036
1033	29983	28012
1034	30012	27982
1035	30039	27951
1036	30064	27919
1037	30092	27888
1038	30119	27858
1039	30146	27827
1040	30165	27789
1041	30187	27754
1042	30209	27718
1043	30238	27689
1044	30266	27660
1045	30294	27629
1046	30322	27600
1047	30351	27570
1048	30375	27538
1049	30402	27507
1050	30436	27482
1051	30461	27450
1052	30486	27417
1053	30511	27385
1054	30544	27359
1055	30578	27335
1056	30604	27304
1057	30635	27276
1058	30665	27248
1059	30717	27240
1060	30747	27211
1061	30772	27179
1062	30805	27154
1063	30836	27127
1064	30864	27097
1065	30887	27062
1066	30911	27029
1067	30947	27006
1068	30975	26976
1069	31001	26945
1070	31032	26918
1071	31058	26886
1072	31083	26853
1073	31115	26827
1074	31142	26797
1075	31169	26766
1076	31200	26739
1077	31229	26710
1078	31255	26678
1079	31279	26645
1080	31308	26616
1081	31336	26586
1082	31364	26557
1083	31390	26525
1084	31414	26492
1085	31439	26459
1086	31475	26437
1087	31506	26409
1088	31538	26383
1089	31568	26355
1090	31601	26329
1091	31625	26296
1092	31651	26265
1093	31675	26231
1094	31699	26199
1095	31724	26167
1096	31751	26136
1097	31778	26105
1098	31809	26078
1099	31839	26050
1100	31868	26021
1101	31895	25990
1102	31920	25958
1103	31948	25929
1104	31972	25896
1105	32009	25874
1106	32036	25843
1107	32065	25814
1108	32095	25786
1109	32124	25757
1110	32154	25729
1111	32190	25705
1112	32217	25675
1113	32247	25647
1114	32275	25617
1115	32300	25585
1116	32327	25555
1117	32353	25524
1118	32386	25497
1119	32417	25470
1120	32447	25442
1121	32474	25412
1122	32508	25387
1123	32541	25361
1124	32570	25332
1125	32606	25308
1126	32632	25277
1127	32660	25248
1128	32696	25224
1129	32731	25200
1130	32767	25176
1131	32790	25143
1132	32820	25115
1133	32853	25088
1134	32878	25057
1135	32907	25027
1136	32929	24994
1137	32962	24968
1138	32994	24941
1139	33030	24917
1140	33059	24889
1141	33098	24866
1142	33127	24838
1143	33163	24815
1144	33192	24785
1145	33220	24756
1146	33244	24723
1147	33269	24691
1148	33294	24659
1149	33317	24625
1150	33336	24589
1151	33366	24561
1152	33395	24532
1153	33420	24500
1154	33449	24471
1155	33484	24447
1156	33508	24414
1157	33544	24390
1158	33569	24358
1159	33598	24329
1160	33627	24301
1161	33660	24275
1162	33688	24245
1163	33725	24222
1164	33765	24201
1165	33793	24171
1166	33818	24139
1167	33849	24112
1168	33877	24082
1169	33905	24052
1170	33937	24025
1171	33959	23991
1172	33988	23963
1173	34017	23934
1174	34045	23904
1175	34071	23873
1176	34104	23847
1177	34136	23819
1178	34166	23791
1179	34189	23759
1180	34215	23727
1181	34238	23694
1182	34267	23666
1183	34300	23639
1184	34328	23610
1185	34350	23576
1186	34380	23548
1187	34407	23517
1188	34435	23488
1189	34464	23459
1190	34493	23430
1191	34523	23402
1192	34550	23371
1193	34579	23342
1194	34610	23315
1195	34638	23285
1196	34665	23254
1197	34689	23223
1198	34720	23194
1199	34753	23169
1200	34786	23142
1201	34813	23112
1202	34846	23085
1203	34878	23059
1204	34913	23034
1205	34933	22999
1206	34965	22972
1207	34998	22945
1208	35027	22917
1209	35055	22887
1210	35093	22864
1211	35129	22839
1212	35153	22808
1213	35189	22783
1214	35226	22759
1215	35260	22733
1216	35297	22709
1217	35328	22681
1218	35359	22654
1219	35389	22625
1220	35415	22594
1221	35450	22569
1222	35475	22538
1223	35499	22506
1224	35529	22477
1225	35557	22448
1226	35581	22416
1227	35603	22382
1228	35633	22353
1229	35659	22323
1230	35692	22297
1231	35719	22266
1232	35753	22240
1233	35785	22213
1234	35815	22185
1235	35847	22157
1236	35870	22125
1237	35898	22095
1238	35928	22067
1239	35956	22037
1240	35986	22009
1241	36025	21986
1242	36057	21959
1243	36083	21928
1244	36110	21898
1245	36137	21868
1246	36168	21840
1247	36197	21811
1248	36232	21785
1249	36258	21755
1250	36281	21722
1251	36308	21692
1252	36339	21664
1253	36365	21633
1254	36396	21606
1255	36426	21577
1256	36457	21549
1257	36487	21521
1258	36513	21490
1259	36547	21464
1260	36572	21433
1261	36600	21403
1262	36619	21368
1263	36643	21336
1264	36673	21308
1265	36702	21279
1266	36725	21247
1267	36787	21236
1268	36808	21203
1269	36833	21171
1270	36860	21142
1271	36893	21115
1272	36920	21085
1273	36954	21058
1274	36986	21031
1275	37013	21001
1276	37037	20969
1277	37062	20938
1278	37093	20910
1279	37130	20886
1280	37163	20859
1281	37192	20829
1282	37217	20798
1283	37246	20769
1284	37279	20742
1285	37301	20710
1286	37327	20679
1287	37359	20652
1288	37386	20622
1289	37422	20597
1290	37448	20566
1291	37475	20535
1292	37509	20509
1293	37529	20475
1294	37556	20446
1295	37590	20419
1296	37623	20392
1297	37655	20365
1298	37683	20335
1299	37717	20309
1300	37742	20278
1301	37772	20249
1302	37808	20224
1303	37834	20193
1304	37865	20165
1305	37897	20138
1306	37924	20108
1307	37952	20078
1308	37983	20050
1309	38008	20019
1310	38035	19989
1311	38060	19958
1312	38087	19928
1313	38119	19901
1314	38150	19873
1315	38176	19842
1316	38210	19816
1317	38235	19785
1318	38262	19755
1319	38286	19723
1320	38314	19694
1321	38336	19661
1322	38366	19632
1323	38399	19605
1324	38428	19577
1325	38461	19550
1326	38489	19520
1327	38520	19492
1328	38546	19461
1329	38575	19432
1330	38604	19403
1331	38630	19373
1332	38655	19342
1333	38682	19312
1334	38708	19281
1335	38734	19251
1336	38754	19217
1337	38782	19188
1338	38817	19162
1339	38849	19134
1340	38870	19101
1341	38895	19071
1342	38922	19041
1343	38944	19008
1344	38972	18979
1345	39000	18949
1346	39030	18921
1347	39059	18892
1348	39089	18863
1349	39118	18834
1350	39145	18804
1351	39174	18776
1352	39201	18746
1353	39232	18717
1354	39264	18690
1355	39296	18662
1356	39323	18632
1357	39346	18601
1358	39371	18570
1359	39400	18541
1360	39430	18512
1361	39456	18482
1362	39487	18454
1363	39516	18425
1364	39533	18390
1365	39558	18360
1366	39588	18331
1367	39615	18302
1368	39640	18270
1369	39663	18239
1370	39694	18211
1371	39725	18183
1372	39755	18155
1373	39785	18126
1374	39821	18100
1375	39853	18072
1376	39885	18045
1377	39911	18015
1378	39933	17983
1379	39962	17954
1380	39988	17924
1381	40017	17895
1382	40047	17866
1383	40070	17834
1384	40096	17804
1385	40120	17773
1386	40149	17744
1387	40181	17717
1388	40207	17686
1389	40237	17658
1390	40267	17629
1391	40299	17602
1392	40331	17574
1393	40363	17546
1394	40393	17518
1395	40417	17487
1396	40443	17457
1397	40480	17431
1398	40502	17399
1399	40532	17371
1400	40559	17341
1401	40589	17312
1402	40622	17285
1403	40650	17256
1404	40675	17225
1405	40702	17195
1406	40720	17162
1407	40746	17132
1408	40775	17102
1409	40796	17070
1410	40829	17043
1411	40857	17014
1412	40874	16980
1413	40899	16949
1414	40929	16921
